,id,ticker,buy_time,buy_price,buy_sum,buy_commission,sell_time,sell_price,sell_sum,sell_commission,stocks_number,status,gain_coef,lose_coef,trailing_LIT_gain_coef,profit,buy_order_id,limit_if_touched_order_id,stop_order_id,trailing_LIT_order_id,timezone
11,25,ON,2024-08-24 04:08:10.555556,75.53,830.83,1.111,1971-01-01 00:00:00.000,,0.0,0.0,11.0,cancelled,1.005,0.95,1.005,0.0,FA195AF7E96B3B2000,,,,E. Australia Standard Time
12,26,MCHP,2024-08-24 04:08:15.064187,81.5,815.0,1.111,1971-01-01 00:00:00.000,,0.0,0.0,10.0,cancelled,1.005,0.95,1.006545986058522,0.0,FA195AF7EDD504A000,,,,E. Australia Standard Time
13,28,AMAT,2024-08-24 04:08:24.563929,202.47,809.88,1.111,1971-01-01 00:00:00.000,,0.0,0.0,4.0,cancelled,1.005,0.95,1.007,0.0,FA195AF7F718FB2000,,,,E. Australia Standard Time
14,29,ADI,2024-08-24 04:08:27.905101,226.45,679.3499999999999,1.111,1971-01-01 00:00:00.000,,0.0,0.0,3.0,placed,1.005,0.95,1.007,0.0,FA195AF7FA5B3B2000,,,,E. Australia Standard Time
15,30,ANET,2024-08-24 04:08:31.303933,352.06,704.12,1.111,1971-01-01 00:00:00.000,,0.0,0.0,2.0,placed,1.005,0.95,1.007,0.0,FA195AF7FDACC4A000,,,,E. Australia Standard Time
16,31,LRCX,2024-08-24 04:08:35.058741,849.55,849.55,1.111,1971-01-01 00:00:00.000,,0.0,0.0,1.0,placed,1.005,0.95,1.007,0.0,FA195AF8015E84A000,,,,E. Australia Standard Time
17,32,AVGO,2024-08-24 04:08:40.604928,164.25,821.25,1.111,1971-01-01 00:00:00.000,,0.0,0.0,5.0,placed,1.005,0.95,1.007,0.0,FA195AF806C244A000,,,,E. Australia Standard Time
18,33,WMT,2024-08-24 04:08:45.225558,75.13,826.43,1.111,1971-01-01 00:00:00.000,,0.0,0.0,11.0,cancelled,1.02,0.95,1.007,0.0,FA195AF80B4744A000,,,,E. Australia Standard Time
19,34,KLAC,2024-08-24 04:08:48.508010,811.16,811.16,1.111,1971-01-01 00:00:00.000,,0.0,0.0,1.0,placed,1.005,0.95,1.007,0.0,FA195AF80E7D44A000,,,,E. Australia Standard Time
20,35,NOW,2024-08-24 04:09:00.719315,821.61,821.61,1.111,1971-01-01 00:00:00.000,,0.0,0.0,1.0,placed,1.005,0.95,1.007,0.0,FA195AF81A67FB2000,,,,E. Australia Standard Time
21,36,QCOM,2024-08-24 04:09:11.156028,171.66,686.64,1.111,1971-01-01 00:00:00.000,,0.0,0.0,4.0,placed,1.005,0.95,1.007,0.0,FA195AF8249884A000,,,,E. Australia Standard Time
22,37,GOOG,2024-08-24 04:09:18.945359,166.33,831.6500000000001,1.111,1971-01-01 00:00:00.000,,0.0,0.0,5.0,placed,1.005,0.95,1.007,0.0,FA195AF82C3504A000,,,,E. Australia Standard Time
23,38,APD,2024-08-24 04:09:25.748547,274.68,824.04,1.111,1971-01-01 00:00:00.000,,0.0,0.0,3.0,placed,1.005,0.95,1.007,0.0,FA195AF832D8C4A000,,,,E. Australia Standard Time
24,39,TEL,2024-08-24 04:09:31.369274,152.14,760.6999999999999,0.02,1971-01-01 00:00:00.000,,0.0,0.0,5.0,bought,1.005,0.95,1.007,0.0,FA195AF8385384A000,FA195AFE0795BB2000,FA195AFE07D3FB2000,,E. Australia Standard Time
25,40,IBM,2024-08-24 04:09:34.766698,194.84,779.36,1.111,1971-01-01 00:00:00.000,,0.0,0.0,4.0,placed,1.005,0.95,1.007,0.0,FA195AF83BA6FB2000,,,,E. Australia Standard Time
26,41,MNST,2024-08-24 04:09:38.558930,46.55,837.9,1.111,1971-01-01 00:00:00.000,,0.0,0.0,18.0,placed,1.005,0.95,1.007,0.0,FA195AF83F5B7B2000,,,,E. Australia Standard Time
27,42,PYPL,2024-08-24 04:09:44.468798,71.37,785.07,1.111,1971-01-01 00:00:00.000,,0.0,0.0,11.0,placed,1.005,0.95,1.007,0.0,FA195AF8451EFB2000,,,,E. Australia Standard Time
28,43,APH,2024-08-24 04:09:47.772597,66.84,802.08,1.111,1971-01-01 00:00:00.000,,0.0,0.0,12.0,placed,1.005,0.95,1.007,0.0,FA195AF8485DFB2000,,,,E. Australia Standard Time
29,25,ON,2024-08-24 04:20:26.835560,75.53,830.83,1.111,1971-01-01 00:00:00.000,,0.0,0.0,11.0,cancelled,1.005,0.95,1.005,0.0,FA195AFAB86CC4A000,,,,E. Australia Standard Time
