,id,ticker,buy_time,buy_price,buy_sum,buy_commission,sell_time,sell_price,sell_sum,sell_commission,stocks_number,status,gain_coef,lose_coef,trailing_LIT_gain_coef,trailing_ratio,profit,buy_order_id,limit_if_touched_order_id,stop_order_id,trailing_LIT_order_id,trailing_stop_limit_order_id,buy_condition_type,tech_indicators,timezone
33,10.0,MDT,2024-08-30 23:34:07.100000,88.0374,1408.5984,0.05,2024-08-31 01:06:07.516,88.3708,1413.9328,0.09999999999999999,16.0,completed,1.005,0.95,1.007,0.15,5.18439999999996,FA1963BC50597B2000,,FA1963C0DA8F7B2000,FA1963C0DAE0C4A000,FA1963C27C4BBB2000,1h,Not filled,E. Australia Standard Time
34,23.0,ABT,2024-08-30 23:43:15.079000,112.71,1352.52,0.04,2024-08-31 01:02:23.689,112.81,1353.72,0.09,12.0,completed,1.005,0.95,1.007,0.15,1.070000000000045,FA1963BE6784BB2000,,FA1963C0DBF43B2000,FA1963C0DC46BB2000,FA1963C27DDB3B2000,1h,Not filled,E. Australia Standard Time
35,13.0,ABT,2024-08-31 00:12:08.592000,112.71,1352.52,0.04,2024-08-31 06:48:37.288,113.0801,1356.9612,0.09,12.0,completed,1.005,0.95,1.007,0.15,4.311199999999981,FA1963C5046284A000,,FA1963C628D204A000,FA1963C6292644A000,FA1964127CB63B2000,1h,Not filled,E. Australia Standard Time
36,4.0,ZTS,2024-08-31 00:23:17.178000,182.32,1276.24,0.02,2024-08-31 06:57:15.205,182.71,1278.97,0.06999999999999999,7.0,completed,1.005,0.97,1.007,0.15,2.640000000000018,FA1963C7914AC4A000,,FA1963CB303EFB2000,FA1963D01F977B2000,FA1964148BC1BB2000,1h,Not filled,E. Australia Standard Time
37,185.0,SNPS,2024-08-31 05:30:22.248000,515.45,2061.8,0.01,2024-08-31 06:50:41.599,519.06,2076.24,0.07999999999999999,4.0,completed,1.005,0.97,1.007,0.15,14.3499999999996,FA19640DDA66FB2000,,,,FA1964135F1BC4A000,1h,Not filled,E. Australia Standard Time
38,30.0,CRM,2024-09-03 23:48:17.679000,252.1006,2016.8048,0.02,2024-09-07 01:00:18.595,244.4732,1955.7856,0.08,8.0,completed,1.005,0.97,1.006,0.15,-61.11919999999996,FA1968E5EADC7B2000,,FA1968E7464D3B2000,FA1968E746A33B2000,,1h,Not filled,E. Australia Standard Time
39,81.0,CMG,2024-09-04 00:11:12.938000,55.24,2154.36,0.12,2024-09-04 04:46:17.253,53.5706,2089.2534,0.19,39.0,completed,1.005,0.97,1.006,0.15,-65.41660000000007,FA1968EB29E284A000,,FA1968ED3E407B2000,FA1968ED3EA5BB2000,,1h,Not filled,E. Australia Standard Time
40,223.0,TMUS,2024-09-04 01:22:02.854000,200.285,1201.71,0.02,2024-09-04 04:33:15.632,201.015,1206.09,0.06,6.0,completed,1.005,0.97,1.0065,0.15,4.299999999999883,FA1968FB6030C4A000,,FA1968FBDBDA7B2000,FA1968FBDC4344A000,FA196917336744A000,1m,Not filled,E. Australia Standard Time
41,2.0,BMY,2024-09-04 04:03:57.977000,50.4995,2171.4785,0.13,2024-09-04 05:47:01.321,50.65,2177.95,1.101,43.0,completed,1.005,0.97,1.006,0.15,5.240500000000106,FA196920701644A000,,FA196921084DBB2000,FA19692108AAC4A000,FA196929D46DC4A000,1m,Not filled,E. Australia Standard Time
42,4.0,ABT,2024-09-04 04:07:29.572000,114.5799,1260.3789,0.03,2024-09-05 00:58:51.994,115.4008,1269.4088,0.08,11.0,completed,1.005,0.97,1.0075,0.15,8.919900000000226,FA1969213EB5BB2000,,FA196922605D44A000,FA19692260BA44A000,FA196A30E8B13B2000,1m,Not filled,E. Australia Standard Time
43,7.0,XOM,2024-09-04 04:52:13.631000,115.859,2085.462,,2024-09-07 01:51:02.668,112.362,2022.516,0.14,18.0,completed,1.005,0.97,1.006,0.15,,FA19692B7BD384A000,,FA19692C1CBAC4A000,FA19692C1D1AC4A000,,1m,Not filled,E. Australia Standard Time
44,46.0,MCHP,2024-09-05 00:22:30.266000,76.27,1372.86,0.05,2024-09-05 01:23:07.529,76.4117,1375.4106,0.09999999999999999,18.0,completed,1.005,0.97,1.006,0.15,2.400600000000031,FA196A3755FDC4A000,,FA196A37CB96C4A000,FA196A37CBEF04A000,FA196A384D7A44A000,1m,Not filled,E. Australia Standard Time
45,14.0,JCI,2024-09-05 00:33:50.739000,70.85,1346.15,0.06,2024-09-07 01:13:11.722,68.6913,1305.1347,0.11,19.0,completed,1.005,0.97,1.006,0.15,-41.18530000000003,FA196A39EE827B2000,,FA196A3A57AB04A000,FA196A3A57FE3B2000,,1m,Not filled,E. Australia Standard Time
46,1.0,BDX,2024-09-05 23:30:16.027000,236.33,1181.65,,2024-09-10 02:33:45.170,237.89,1189.45,0.07,5.0,completed,1.005,0.97,1.0065,0.15,,FA196B74F88B84A000,,FA196B75684104A000,FA196B75689104A000,FA1970B57D0BFB2000,1h,Not filled,E. Australia Standard Time
47,15.0,LIN,2024-09-10 00:28:46.435000,463.06,1852.24,0.01,2024-09-10 02:52:38.479,463.85,1855.4,0.07,4.0,completed,1.005,0.97,1.006,0.15,3.080000000000082,FA1970A8B9003B2000,,FA1970A982977B2000,FA1970A982F0BB2000,FA1970BB8926C4A000,1m,"{'mv': np.float64(-8.251378976350388), 'mv_2m': np.float64(0.15321827791610065), 'mv_5m': np.float64(-2.5188791825066836), 'mv_30m': np.float64(3.627262938726594), 'mv_60m': np.float64(9.605177446663273)}",E. Australia Standard Time
48,16.0,PSX,2024-09-10 00:28:57.074000,128.78,2189.26,0.05,2024-09-12 00:47:26.468,124.88,2122.96,0.12,17.0,completed,1.005,0.97,1.006,0.15,-66.47000000000018,FA1970A8C36284A000,,FA1970A981BDC4A000,FA1970A98217BB2000,,1m,"{'mv': np.float64(-8.257422382824975), 'mv_2m': np.float64(0.1471748714415133), 'mv_5m': np.float64(-2.5105898897386236), 'mv_30m': np.float64(3.564092603835345), 'mv_60m': np.float64(8.440087670148323)}",E. Australia Standard Time
49,0.0,JCI,2024-09-10 02:04:24.509000,68.635,2196.32,0.1,2024-09-10 04:18:19.867,68.9608,2206.7456,0.17,32.0,completed,1.005,0.97,1.0065,0.15,10.15560000000003,FA1970BE9C82C4A000,,FA1970BF5A82C4A000,FA1970BF5AE0BB2000,FA1970C73E2104A000,1m,"{'mv': np.float64(-3.1132295211719443), 'mv_2m': np.float64(0.5834247005841009), 'mv_5m': np.float64(-0.8421107776714898), 'mv_30m': np.float64(-0.9756283020857737), 'mv_60m': np.float64(0.9744326198673603)}",E. Australia Standard Time
50,1.0,WM,2024-09-10 02:04:35.064000,208.68,2086.8,,2024-09-11 00:29:32.457,209.32,2093.2,0.09999999999999999,10.0,completed,1.005,0.97,1.006,0.15,,FA1970BEA6D07B2000,,FA1970BF03377B2000,FA1970BF0395C4A000,FA1971E5156CBB2000,1m,"{'mv': np.float64(-3.096145358284218), 'mv_2m': np.float64(0.600508863471827), 'mv_5m': np.float64(-0.7579200910960981), 'mv_30m': np.float64(-0.6784542500593904), 'mv_60m': np.float64(1.7464416330441601)}",E. Australia Standard Time
51,0.0,SNPS,2024-09-10 03:39:37.717000,463.25,1853.0,0.01,2024-09-11 00:26:03.623,464.16,1856.64,0.07,4.0,completed,1.005,0.97,1.006,0.15,3.5600000000001,FA1970D467B984A000,,FA1970D50C2504A000,FA1970D50C7B7B2000,,1m,"{'mv': np.float64(2.464410641484039), 'mv_2m': np.float64(0.6937374392422369), 'mv_5m': np.float64(0.7715270893379644), 'mv_30m': np.float64(-3.1479333974769874), 'mv_60m': np.float64(-1.246845306935973)}",E. Australia Standard Time
52,5.0,MU,2024-09-11 01:44:16.189000,85.4993,2137.4825,0.08,2024-09-11 03:32:19.306,85.6701,2141.7525,0.15,25.0,completed,1.005,0.97,1.006,0.15,4.039999999999981,FA19720397653B2000,,FA197204130CC4A000,FA197204136D3B2000,FA19720F5130BB2000,1m,"mv :3.03, mv_2m:0.24,mv_5m : 0.50, mv_30m : -6.63, mv_60m: 0.68",E. Australia Standard Time
53,8.0,WM,2024-09-12 02:28:53.226000,205.84,2058.4,0.03,2024-09-12 04:11:41.243,206.4775,2064.775,0.09999999999999999,10.0,completed,1.005,0.995,1.006,0.15,6.245,FA19735764A844A000,,FA1973580A7744A000,FA1973580AD7BB2000,FA19735DBBC97B2000,1m,"mv :-28.75, mv_2m:0.75,mv_5m : 1.97, mv_30m : 4.55, mv_60m: 4.52",E. Australia Standard Time
54,1.0,NUE,2024-09-12 02:53:19.415000,134.985,2159.76,0.05,2024-09-12 04:21:02.980,135.2813,2164.5008,0.12,16.0,completed,1.005,0.995,1.006,0.15,4.570799999999581,FA19735CFC8244A000,,FA19735D46D67B2000,FA19735D4740C4A000,FA19736242B084A000,1m,"mv :-1.32, mv_2m:0.17,mv_5m : 1.00, mv_30m : 2.03, mv_60m: 3.57",E. Australia Standard Time
55,1.0,AMGN,2024-09-12 03:27:17.040000,327.32,1963.92,,2024-09-12 05:31:08.233,328.94,1973.64,1.101,6.0,completed,1.02,0.995,1.0065,0.15,,FA197364C265C4A000,,FA197366022E7B2000,FA197366029244A000,FA197373F6EAC4A000,1m,"mv :-0.62, mv_2m:1.52,mv_5m : 0.34, mv_30m : 4.07, mv_60m: 5.60",E. Australia Standard Time
56,6.0,MNST,2024-09-12 03:31:13.216000,49.48,2177.12,0.13,2024-09-12 05:29:33.942,49.5501,2180.2044,1.101,44.0,completed,1.02,0.995,1.006,0.15,1.853400000000187,FA197365A90844A000,,FA1973660132C4A000,FA197366019744A000,FA197372AE6344A000,1m,"mv :-0.50, mv_2m:-0.11,mv_5m : 1.85, mv_30m : 4.00, mv_60m: 5.40",E. Australia Standard Time
57,1.0,BA,2024-09-12 03:43:10.501000,160.2099,2082.7287,0.04,2024-09-12 05:40:15.224,160.9318,2092.1134,0.11,13.0,completed,1.005,0.995,1.0065,0.15,9.234700000000068,FA19736865847B2000,,FA197368BD7604A000,FA197368BDDB3B2000,FA197375091D84A000,1m,"mv :-0.14, mv_2m:-0.02,mv_5m : 0.60, mv_30m : -0.70, mv_60m: 2.59",E. Australia Standard Time
58,6.0,PSX,2024-09-12 05:07:42.745000,125.27,2129.59,0.05,2024-09-12 06:34:49.128,125.585,2134.945,1.101,17.0,completed,1.005,0.995,1.006,0.15,4.203999999999564,FA19737BBEDC04A000,,FA19737D307FC4A000,FA19737D311D44A000,FA1973828620FB2000,1m,"mv :13.42, mv_2m:1.83,mv_5m : 1.94, mv_30m : 6.09, mv_60m: 16.02",E. Australia Standard Time
59,10.0,MRNA,2024-09-12 05:32:48.329000,79.35,2142.45,0.08,2024-09-12 06:51:28.718,79.5006,2146.5162,0.15,27.0,completed,1.005,0.995,1.006,0.15,3.836200000000208,FA1973817D2504A000,,FA197382E5D37B2000,FA197382E63C84A000,FA1973869638C4A000,1m,"mv :24.35, mv_2m:0.32,mv_5m : 1.64, mv_30m : 10.76, mv_60m: 15.92",E. Australia Standard Time
60,11.0,GOOG,2024-09-12 05:35:10.237000,151.6893,2123.6502,0.04,2024-09-12 06:51:03.034,152.075,2129.05,0.11,14.0,completed,1.005,0.995,1.006,0.15,5.249799999999686,FA19738207BA44A000,,FA197382867DFB2000,FA19738286E1FB2000,FA1973865620FB2000,1m,"mv :25.33, mv_2m:1.88,mv_5m : 0.79, mv_30m : 21.92, mv_60m: 26.93",E. Australia Standard Time
